📡 Loading graph from: data/youtube_data.db
Adding edge: 3lar1hvS-TU -> U9upz_M5nZ4
Adding edge: 3lar1hvS-TU -> CcgvDfhvN5M
Adding edge: 3lar1hvS-TU -> uxIpQnka72M
Adding edge: 3lar1hvS-TU -> -u0577DmPrA
Adding edge: 3lar1hvS-TU -> JE5TdcST0LI
Adding edge: 4I98SqgIETM -> 6knAoUvaIRw
Adding edge: 4I98SqgIETM -> OHNyXOAxRo8
Adding edge: 4I98SqgIETM -> FywVt7V8xik
Adding edge: 4I98SqgIETM -> OQo5QURSxUc
Adding edge: 4I98SqgIETM -> nGgpNjxYOiA
Adding edge: 4I98SqgIETM -> 6g17cJ1FYcw
Adding edge: 4I98SqgIETM -> Nn_L0B9B6UM
Adding edge: 4I98SqgIETM -> PWLlMlGyrg4
Adding edge: 4I98SqgIETM -> 9dOrsJ2rR38
Adding edge: 4I98SqgIETM -> Sf2CGwJISSw
Adding edge: Rfir7iQOE-c -> AWjJu701qzM
Adding edge: Rfir7iQOE-c -> Pe3uTz-hxqo
Adding edge: Rfir7iQOE-c -> fJLu4WknoxI
Adding edge: Rfir7iQOE-c -> y-34-bAKgU8
Adding edge: Rfir7iQOE-c -> HuCZ6-A5gcY
Adding edge: Rfir7iQOE-c -> BCFH2n-Op_I
Adding edge: Rfir7iQOE-c -> IQJL3htsDyQ
Adding edge: Rfir7iQOE-c -> itHQvuWYQEw
Adding edge: Rfir7iQOE-c -> cIY95KCnnNk
Adding edge: Rfir7iQOE-c -> eZh6ZDcc9SY
Adding edge: _He5Bz9cHLY -> LLRM33MU-UU
Adding edge: _He5Bz9cHLY -> rOIjKmVfj5k
Adding edge: _He5Bz9cHLY -> VqjdaQkt0bM
Adding edge: _He5Bz9cHLY -> L5fXbIsRR7A
Adding edge: _He5Bz9cHLY -> w22ihx6V0K4
Adding edge: _He5Bz9cHLY -> GYIOD1g4Eic
Adding edge: _He5Bz9cHLY -> v9B_bvrJbJE
Adding edge: _He5Bz9cHLY -> 330h0YM55qc
Adding edge: _He5Bz9cHLY -> 5pjOGBNWzkc
Adding edge: _He5Bz9cHLY -> hTtt58rJJys
Adding edge: O3je86geH2Q -> WBDBVUwBYIA
Adding edge: O3je86geH2Q -> 23FsA_Nileo
